lc_words	count
election	144
election	107
candidate	217
candidate	2
section	212
is	204
b	166
federal	144
committee	120
committee	14
committee	3
act	93
act	40
act	2
be	130
campaign	93
campaign	27
commission	103
commission	4
federal election	94
federal election	5
federal election	1
amended	94
state	47
state	46
contributions	81
contributions	5
2	83
election campaign	83
1971	82
act of 1971	82
campaign act	82
campaign act of 1971	82
election campaign act	82
election campaign act of 1971	82
federal election campaign	82
federal election campaign act	82
federal election campaign act of 1971	82
paragraph	82
a	76
a	3
house	77
house	1
subsection	76
representatives	59
representatives	12
representatives	4
house of representatives	59
house of representatives	12
house of representatives	1
office	70
office	1
title	61
title	9
title	1
following	59
following	11
u.s.c.	45
u.s.c.	24
amount	65
amount	2
party	53
party	14
sec	66
sec	1
2 u.s.c.	41
2 u.s.c.	24
committees	63
c	62
candidates	58
candidates	2
end	60
inserting	51
is amended	50
shall be	50
are	49
made	46
made	3
person	48
eligible house	40
eligible house	4
eligible house	2
eligible house	1
expenditures	47
communication	40
communication	6
eligible house of representatives	39
eligible house of representatives	4
eligible house of representatives	1
eligible house of representatives	1
eligible house of representatives	1
described	44
described	1
political party	43
political party	1
adding	43
1	42
political committee	37
political committee	3
political committee	1
political committee	1
adding at the end	41
ballot	41
expenditure	37
expenditure	2
expenditure	1
mr.	40
striking	39
house of representatives candidate	35
house of representatives candidate	1
house of representatives candidate	1
representatives candidate	35
representatives candidate	1
representatives candidate	1
d	36
federal office	28
federal office	8
requirements	36
315	35
period	35
report	24
report	6
report	5
year	35
calendar	31
calendar	2
eligible house of representatives candidate	30
eligible house of representatives candidate	1
eligible house of representatives candidate	1
eligible house of representatives candidate	1
fund	20
fund	13
general election	32
general election	1
limitations	22
limitations	8
limitations	3
term	33
voter	24
voter	9
subparagraph	32
ballot initiative	31
funds	29
funds	2
initiative	31
provisions	30
provisions	1
purposes	31
5	30
calendar year	30
respect	30
activities	29
authorized	23
authorized	5
authorized	1
contribution	28
contribution	1
reporting	12
reporting	11
reporting	5
reporting	1
section 315	29
vouchers	26
vouchers	2
vouchers	1
clause	28
date	28
means	23
means	4
means	1
subsection -lrb- a -rrb-	28
301	27
make	22
make	3
make	2
paragraph -lrb- 1 -rrb-	27
8	25
has	25
including	25
section 301	25
committee of a political party	22
committee of a political party	2
payment	24
political committees	23
political committees	1
required	24
persons	20
persons	2
persons	1
activity	22
amounts	20
amounts	1
amounts	1
organization	21
organization	1
case	21
communication vouchers	15
communication vouchers	4
communication vouchers	1
communication vouchers	1
limitation	20
limitation	1
voter communication	13
voter communication	6
voter communication	2
voter communication vouchers	13
voter communication vouchers	4
voter communication vouchers	2
voter communication vouchers	1
voter communication vouchers	1
3	20
6	20
code	20
may be	17
may be	3
sections	20
states	12
states	7
states	1
time	20
2 u.s.c. 431	19
431	19
exceed	12
exceed	7
further amended	19
is further	19
is further amended	19
provision	18
provision	1
received	15
received	4
u.s.c. 431	19
united	19
united states	12
united states	7
cycle	16
cycle	2
election cycle	16
election cycle	2
provided	17
provided	1
apply	16
apply	1
secretary	17
subsection -lrb- b -rrb-	17
use	10
use	4
use	2
use	1
action	15
action	1
behalf	16
congress	16
filed	15
filed	1
information	15
information	1
name	16
percent	16
system	16
304	15
323	15
corporation	13
corporation	2
following new subsection	15
hours	15
law	15
new subsection	15
purpose	15
revenue	13
revenue	2
state committee	12
state committee	2
state committee	1
2 u.s.c. 441a	14
441a	14
aggregating	14
amendment	9
amendment	5
determines	14
eligible candidate	14
established	11
established	3
grassroots	14
include	13
include	1
independent expenditure	11
independent expenditure	2
independent expenditure	1
individual	14
is not	14
lobbying	5
lobbying	5
lobbying	4
paragraphs	13
paragraphs	1
receive	14
representative	7
representative	7
section 304	14
section 323	14
subsections	14
subtitle	11
subtitle	3
u.s.c. 441a	14
used	14
604	13
broadcast	7
broadcast	3
broadcast	2
broadcast	1
connection	13
district	9
district	4
does	13
does not	13
elections	13
internal	13
internal revenue	13
internal revenue code	13
making	11
making	2
not be	13
primary election	13
reporting requirements	6
reporting requirements	4
reporting requirements	3
revenue code	13
services	13
state party	13
statement	13
such candidate	13
transferred	13
9	12
authorized committee	7
authorized committee	5
certification	12
costs	12
described in section	11
described in section	1
determined	12
fundraising	5
fundraising	5
fundraising	2
grassroots fund	12
manner	12
party grassroots	12
pay	12
state committee of a political party	10
state committee of a political party	2
state party grassroots	12
support	8
support	4
1986	11
4	11
amended by section	11
chapter	11
code of 1986	11
conduct	11
court	7
court	4
day	11
excess	11
internal revenue code of 1986	11
makes	11
not apply	11
paragraph -lrb- 2 -rrb-	11
party grassroots fund	11
regard	11
registration	9
registration	2
revenue code of 1986	11
state party grassroots fund	11
subparagraph -lrb- b -rrb-	11
2 u.s.c. 434	10
301 -lrb- 8 -rrb-	10
434	10
advance	8
advance	2
agent	10
committees.sec	10
communications	5
communications	5
conducted	10
days	10
